ETTJ PREFIXADOS (%a.a./252)
21/08/2019
Vertices;Fechamento D -1;D0
21;5,9173;5,9138
126;5,3346;5,3128
252;5,3175;5,2834
378;5,5487;5,5078
504;5,8275;5,7826
630;6,0879;6,0407
756;6,3136;6,2649
882;6,5050;6,4554
1.008;6,6668;6,6166
1.134;6,8043;6,7537
1.260;6,9220;6,8712
1.386;7,0237;6,9727
1.512;7,1121;7,0610
1.638;7,1895;7,1384
1.764;7,2577;7,2065
1.890;7,3181;7,2669
2.016;7,3718;7,3206
2.142;7,4199;7,3687
2.268;7,4631;7,4120

ETTJ IPCA (%a.a./252)
21/08/2019
Vertices;Fechamento D -1;D0
252;1,9848;1,9570
378;1,9156;1,8997
504;2,1109;2,0946
630;2,3132;2,2941
756;2,4779;2,4562
882;2,6078;2,5843
1.008;2,7125;2,6877
1.134;2,7995;2,7740
1.260;2,8741;2,8483
1.386;2,9396;2,9138
1.512;2,9983;2,9727
1.638;3,0515;3,0263
1.764;3,1002;3,0755
1.890;3,1451;3,1210
2.016;3,1867;3,1632
2.142;3,2253;3,2026
2.268;3,2613;3,2392
2.394;3,2949;3,2735
2.520;3,3263;3,3056
2.646;3,3556;3,3357
2.772;3,3831;3,3639
2.898;3,4089;3,3903
3.024;3,4332;3,4152
3.150;3,4559;3,4386
3.276;3,4773;3,4605
3.402;3,4974;3,4812
3.528;3,5164;3,5007
3.654;3,5343;3,5191
3.780;3,5512;3,5365
3.906;3,5671;3,5529
4.032;3,5822;3,5684
4.158;3,5964;3,5831
4.284;3,6099;3,5970
4.410;3,6227;3,6102
4.536;3,6349;3,6227
4.662;3,6464;3,6346
4.788;3,6574;3,6459
4.914;3,6678;3,6566
5.040;3,6778;3,6669
5.166;3,6873;3,6767
5.292;3,6963;3,6860
5.418;3,7050;3,6949
5.544;3,7133;3,7034
5.670;3,7212;3,7116
5.796;3,7287;3,7194
5.922;3,7360;3,7269
6.048;3,7430;3,7341
6.174;3,7496;3,7410
6.300;3,7561;3,7476
6.426;3,7622;3,7539
6.552;3,7682;3,7601
6.678;3,7739;3,7659
6.804;3,7794;3,7716
6.930;3,7847;3,7771
7.056;3,7898;3,7824
7.182;3,7948;3,7875
7.308;3,7995;3,7924
7.434;3,8041;3,7971
7.560;3,8086;3,8017
7.686;3,8129;3,8062
7.812;3,8171;3,8105
7.938;3,8211;3,8146
8.064;3,8250;3,8187
8.190;3,8288;3,8226
8.316;3,8325;3,8264
8.442;3,8361;3,8300
8.568;3,8395;3,8336
8.694;3,8429;3,8371
8.820;3,8462;3,8405
8.946;3,8493;3,8437

