ETTJ PREFIXADOS (%a.a./252)
16/08/2019
Vertices;Fechamento D -1;D0
21;5,9627;5,9015
126;5,3850;5,3550
252;5,3477;5,3205
378;5,5644;5,5289
504;5,8374;5,7929
630;6,0968;6,0454
756;6,3226;6,2667
882;6,5131;6,4545
1.008;6,6724;6,6125
1.134;6,8058;6,7454
1.260;6,9181;6,8578
1.386;7,0134;6,9535
1.512;7,0949;7,0356
1.638;7,1652;7,1065
1.764;7,2263;7,1682
1.890;7,2798;7,2223
2.016;7,3270;7,2700
2.142;7,3688;7,3124
2.268;7,4062;7,3502

ETTJ IPCA (%a.a./252)
16/08/2019
Vertices;Fechamento D -1;D0
252;2,0334;2,0132
378;2,0176;1,9881
504;2,1863;2,1532
630;2,3589;2,3242
756;2,5032;2,4681
882;2,6213;2,5862
1.008;2,7198;2,6851
1.134;2,8043;2,7702
1.260;2,8785;2,8453
1.386;2,9448;2,9125
1.512;3,0047;2,9735
1.638;3,0594;3,0291
1.764;3,1094;3,0802
1.890;3,1554;3,1273
2.016;3,1979;3,1707
2.142;3,2370;3,2108
2.268;3,2733;3,2480
2.394;3,3068;3,2824
2.520;3,3379;3,3143
2.646;3,3668;3,3440
2.772;3,3936;3,3716
2.898;3,4186;3,3973
3.024;3,4418;3,4212
3.150;3,4635;3,4435
3.276;3,4838;3,4643
3.402;3,5028;3,4838
3.528;3,5205;3,5021
3.654;3,5371;3,5192
3.780;3,5528;3,5353
3.906;3,5674;3,5504
4.032;3,5813;3,5647
4.158;3,5943;3,5781
4.284;3,6066;3,5908
4.410;3,6183;3,6028
4.536;3,6293;3,6141
4.662;3,6397;3,6249
4.788;3,6496;3,6350
4.914;3,6590;3,6447
5.040;3,6680;3,6539
5.166;3,6765;3,6627
5.292;3,6846;3,6711
5.418;3,6923;3,6791
5.544;3,6997;3,6867
5.670;3,7068;3,6939
5.796;3,7136;3,7009
5.922;3,7200;3,7076
6.048;3,7262;3,7140
6.174;3,7322;3,7201
6.300;3,7379;3,7260
6.426;3,7434;3,7317
6.552;3,7487;3,7371
6.678;3,7538;3,7423
6.804;3,7587;3,7474
6.930;3,7634;3,7523
7.056;3,7680;3,7569
7.182;3,7723;3,7615
7.308;3,7766;3,7658
7.434;3,7807;3,7700
7.560;3,7846;3,7741
7.686;3,7885;3,7781
7.812;3,7922;3,7819
7.938;3,7958;3,7856
8.064;3,7993;3,7892
8.190;3,8026;3,7926
8.316;3,8059;3,7960
8.442;3,8091;3,7993
8.568;3,8121;3,8024
8.694;3,8151;3,8055
8.820;3,8180;3,8085
8.946;3,8209;3,8114

