ETTJ PREFIXADOS (%a.a./252)
20/08/2019
Vertices;Fechamento D -1;D0
21;5,8955;5,8335
126;5,3640;5,3673
252;5,3366;5,3574
378;5,5505;5,5690
504;5,8202;5,8346
630;6,0782;6,0917
756;6,3044;6,3203
882;6,4963;6,5171
1.008;6,6575;6,6845
1.134;6,7929;6,8268
1.260;6,9073;6,9480
1.386;7,0045;7,0518
1.512;7,0877;7,1412
1.638;7,1596;7,2187
1.764;7,2220;7,2863
1.890;7,2768;7,3457
2.016;7,3250;7,3981
2.142;7,3678;7,4447
2.268;7,4060;7,4863

ETTJ IPCA (%a.a./252)
20/08/2019
Vertices;Fechamento D -1;D0
252;1,9956;1,9971
378;1,9310;1,9416
504;2,1228;2,1410
630;2,3184;2,3421
756;2,4770;2,5046
882;2,6025;2,6329
1.008;2,7044;2,7365
1.134;2,7898;2,8231
1.260;2,8637;2,8976
1.386;2,9290;2,9633
1.512;2,9877;3,0221
1.638;3,0411;3,0755
1.764;3,0900;3,1242
1.890;3,1352;3,1691
2.016;3,1770;3,2105
2.142;3,2157;3,2489
2.268;3,2518;3,2846
2.394;3,2854;3,3177
2.520;3,3167;3,3486
2.646;3,3459;3,3774
2.772;3,3733;3,4044
2.898;3,3988;3,4295
3.024;3,4228;3,4531
3.150;3,4452;3,4751
3.276;3,4663;3,4958
3.402;3,4861;3,5152
3.528;3,5046;3,5335
3.654;3,5221;3,5507
3.780;3,5386;3,5668
3.906;3,5542;3,5821
4.032;3,5688;3,5965
4.158;3,5827;3,6101
4.284;3,5958;3,6230
4.410;3,6083;3,6351
4.536;3,6200;3,6467
4.662;3,6312;3,6577
4.788;3,6418;3,6681
4.914;3,6519;3,6780
5.040;3,6616;3,6874
5.166;3,6707;3,6964
5.292;3,6795;3,7050
5.418;3,6878;3,7131
5.544;3,6958;3,7209
5.670;3,7034;3,7284
5.796;3,7107;3,7356
5.922;3,7177;3,7424
6.048;3,7244;3,7490
6.174;3,7308;3,7553
6.300;3,7370;3,7614
6.426;3,7430;3,7672
6.552;3,7487;3,7728
6.678;3,7542;3,7782
6.804;3,7595;3,7834
6.930;3,7646;3,7884
7.056;3,7695;3,7932
7.182;3,7743;3,7979
7.308;3,7789;3,8024
7.434;3,7833;3,8067
7.560;3,7876;3,8109
7.686;3,7917;3,8150
7.812;3,7957;3,8189
7.938;3,7996;3,8227
8.064;3,8034;3,8264
8.190;3,8070;3,8300
8.316;3,8106;3,8334
8.442;3,8140;3,8368
8.568;3,8173;3,8401
8.694;3,8206;3,8432
8.820;3,8237;3,8463
8.946;3,8268;3,8493

