ETTJ PREFIXADOS (%a.a./252)
19/08/2019
Vertices;Fechamento D -1;D0
21;5,9318;5,8864
126;5,3423;5,3296
252;5,2865;5,2824
378;5,4911;5,4844
504;5,7588;5,7474
630;6,0175;6,0021
756;6,2451;6,2270
882;6,4385;6,4187
1.008;6,6009;6,5804
1.134;6,7373;6,7167
1.260;6,8524;6,8319
1.386;6,9502;6,9300
1.512;7,0339;7,0141
1.638;7,1061;7,0868
1.764;7,1689;7,1500
1.890;7,2238;7,2054
2.016;7,2722;7,2542
2.142;7,3152;7,2975
2.268;7,3535;7,3362

ETTJ IPCA (%a.a./252)
19/08/2019
Vertices;Fechamento D -1;D0
252;1,9816;1,9738
378;1,9272;1,9064
504;2,1035;2,0868
630;2,2874;2,2769
756;2,4403;2,4352
882;2,5644;2,5632
1.008;2,6674;2,6689
1.134;2,7553;2,7587
1.260;2,8322;2,8370
1.386;2,9007;2,9064
1.512;2,9626;2,9688
1.638;3,0190;3,0255
1.764;3,0706;3,0772
1.890;3,1180;3,1247
2.016;3,1617;3,1683
2.142;3,2020;3,2085
2.268;3,2393;3,2456
2.394;3,2739;3,2800
2.520;3,3059;3,3119
2.646;3,3357;3,3414
2.772;3,3633;3,3688
2.898;3,3890;3,3943
3.024;3,4130;3,4181
3.150;3,4354;3,4403
3.276;3,4563;3,4610
3.402;3,4758;3,4803
3.528;3,4942;3,4984
3.654;3,5113;3,5154
3.780;3,5275;3,5314
3.906;3,5426;3,5464
4.032;3,5569;3,5605
4.158;3,5704;3,5739
4.284;3,5831;3,5864
4.410;3,5951;3,5983
4.536;3,6065;3,6096
4.662;3,6173;3,6202
4.788;3,6275;3,6303
4.914;3,6372;3,6400
5.040;3,6465;3,6491
5.166;3,6553;3,6578
5.292;3,6637;3,6661
5.418;3,6717;3,6740
5.544;3,6793;3,6816
5.670;3,6866;3,6888
5.796;3,6936;3,6957
5.922;3,7003;3,7023
6.048;3,7067;3,7087
6.174;3,7129;3,7147
6.300;3,7188;3,7206
6.426;3,7245;3,7262
6.552;3,7299;3,7316
6.678;3,7352;3,7368
6.804;3,7402;3,7418
6.930;3,7451;3,7466
7.056;3,7498;3,7513
7.182;3,7544;3,7558
7.308;3,7587;3,7601
7.434;3,7630;3,7643
7.560;3,7671;3,7683
7.686;3,7710;3,7722
7.812;3,7749;3,7760
7.938;3,7786;3,7797
8.064;3,7822;3,7833
8.190;3,7857;3,7867
8.316;3,7890;3,7900
8.442;3,7923;3,7933
8.568;3,7955;3,7964
8.694;3,7986;3,7995
8.820;3,8016;3,8024
8.946;3,8045;3,8053

