ETTJ PREFIXADOS (%a.a./252)
14/08/2019
Vertices;Fechamento D -1;D0
21;5,8969;5,8694
126;5,3751;5,3922
252;5,2986;5,3453
378;5,4768;5,5387
504;5,7341;5,8035
630;5,9940;6,0670
756;6,2276;6,3022
882;6,4273;6,5024
1.008;6,5943;6,6694
1.134;6,7329;6,8078
1.260;6,8481;6,9228
1.386;6,9445;7,0189
1.512;7,0258;7,0998
1.638;7,0949;7,1688
1.764;7,1544;7,2280
1.890;7,2059;7,2793
2.016;7,2511;7,3242
2.142;7,2908;7,3639
2.268;7,3262;7,3991

ETTJ IPCA (%a.a./252)
14/08/2019
Vertices;Fechamento D -1;D0
252;1,9971;2,0066
378;1,9302;1,9617
504;2,0969;2,1374
630;2,2819;2,3265
756;2,4406;2,4870
882;2,5710;2,6180
1.008;2,6792;2,7262
1.134;2,7711;2,8175
1.260;2,8508;2,8963
1.386;2,9212;2,9656
1.512;2,9842;3,0274
1.638;3,0410;3,0829
1.764;3,0926;3,1332
1.890;3,1398;3,1791
2.016;3,1830;3,2210
2.142;3,2226;3,2594
2.268;3,2591;3,2947
2.394;3,2928;3,3272
2.520;3,3239;3,3572
2.646;3,3527;3,3850
2.772;3,3794;3,4107
2.898;3,4042;3,4345
3.024;3,4272;3,4567
3.150;3,4486;3,4773
3.276;3,4687;3,4965
3.402;3,4873;3,5145
3.528;3,5048;3,5313
3.654;3,5212;3,5470
3.780;3,5366;3,5618
3.906;3,5510;3,5757
4.032;3,5646;3,5887
4.158;3,5774;3,6010
4.284;3,5895;3,6126
4.410;3,6009;3,6235
4.536;3,6117;3,6339
4.662;3,6219;3,6437
4.788;3,6316;3,6530
4.914;3,6408;3,6619
5.040;3,6496;3,6703
5.166;3,6579;3,6783
5.292;3,6659;3,6859
5.418;3,6735;3,6932
5.544;3,6807;3,7002
5.670;3,6876;3,7068
5.796;3,6943;3,7132
5.922;3,7006;3,7193
6.048;3,7067;3,7251
6.174;3,7125;3,7307
6.300;3,7181;3,7361
6.426;3,7235;3,7412
6.552;3,7287;3,7462
6.678;3,7337;3,7510
6.804;3,7385;3,7556
6.930;3,7431;3,7600
7.056;3,7475;3,7643
7.182;3,7518;3,7684
7.308;3,7560;3,7724
7.434;3,7600;3,7762
7.560;3,7639;3,7800
7.686;3,7676;3,7836
7.812;3,7713;3,7870
7.938;3,7748;3,7904
8.064;3,7782;3,7937
8.190;3,7815;3,7969
8.316;3,7847;3,7999
8.442;3,7878;3,8029
8.568;3,7908;3,8058
8.694;3,7937;3,8086
8.820;3,7966;3,8113
8.946;3,7993;3,8140

